Zone,From,To,Route/Range,Base Rate
A,-,-,<15,628.23
B,-,-,16-29,626.23
C,-,-,30-59,1010.83
D,-,-,60-99,1292.07
E,-,-,100-139,1613.49
F,-,-,140-199,1861.76
G,-,-,200-259,2602.68
H,-,-,260-300,2757.73
I,-,-,301-400,2779.78
J,-,-,401-500,2802.20
K,-,-,501-600,3158.84
L,-,-,>600,3464.53
M,NKR,KSM Depot,NKR-KSM Depot,2047.93
N,NAKURU,SAGANA,NAKURU-SAGANA,2603.00
O,ELD,KISII,ELD-KISII,2602.68
P,ELD,KSM,ELD-KSM,1803.31
Q,ELD,MIGORI,ELD-MIGORI,3082.17
R,ELD,BONDO/BUSIA,ELD-BONDO/BUSIA,2080.79
S,NRB,KSM Depot,NRB-KSM Depot,3057.45
T,NRB,KAKAMEGA,NRB-KAKAMEGA,3057.45
U,NRB,ELD,NRB-ELD,2780.00
V,NRB,SAGANA DEPOT,NRB-SAGANA DEPOT,1292.00
W,NRB,MWINGI,NRB-MWINGI,2190.30
X,NRB,NYERI,NRB-NYERI,2080.79
Y,NRB,NANYUKI,NRB-NANYUKI,2190.30
Z,NRB,EMBU,NRB-EMBU,1803.31
AA,NRB,MAUA,NRB-MAUA,3244.38
AB,NRB,GARISSA,NRB-GARISSA,2967.03
NAK1,NAKURU,ELDORET,NAKURU-ELDORET,1023.96
NAK2,NAKURU,NAIROBI,NAKURU-NAIROBI,1023.96
ELD1,ELDORET,NAIROBI,ELDORET-NAIROBI,1528.87
